Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
21-Apr-20,9016.95,9044.4,8909.4,8981.45,655122903,28273.89
22-Apr-20,9026.75,9209.75,8946.25,9187.3,734383388,33981.82
23-Apr-20,9232.35,9343.6,9170.15,9313.9,666650462,30270.55
24-Apr-20,9163.9,9296.9,9141.3,9154.4,659439249,32859.05
27-Apr-20,9259.7,9377.1,9250.35,9282.3,512793298,26696.54
28-Apr-20,9389.8,9404.4,9260,9380.9,614548983,30091.41
29-Apr-20,9408.6,9599.85,9392.35,9553.35,653026950,31673.23
30-Apr-20,9753.5,9889.05,9731.5,9859.9,931173802,39332.46
04-May-20,9533.5,9533.5,9266.95,9293.5,687487134,29785.95
05-May-20,9429.4,9450.9,9190.75,9205.6,725196178,29700.2
06-May-20,9226.8,9346.9,9116.5,9270.9,722185448,30798.1
07-May-20,9234.05,9277.85,9175.9,9199.05,708740416,59705.53
08-May-20,9376.95,9382.65,9238.2,9251.5,609053504,30743.45
11-May-20,9348.15,9439.9,9219.95,9239.2,704647074,31048.47
12-May-20,9168.85,9240.85,9043.95,9196.55,805458787,37706.27
13-May-20,9584.2,9584.5,9351.1,9383.55,846395245,36488.9
14-May-20,9213.95,9281.1,9119.75,9142.75,602555564,29541.59
15-May-20,9182.4,9182.4,9050,9136.85,575857112,25847.33
18-May-20,9158.3,9158.3,8806.75,8823.25,772983297,33347.46
19-May-20,8961.7,9030.35,8855.3,8879.1,762152894,32026.94
20-May-20,8889.15,9093.8,8875.35,9066.55,622308140,30721.99
21-May-20,9079.45,9178.55,9056.1,9106.25,631542699,28303.51
22-May-20,9067.9,9149.6,8968.55,9039.25,675759336,31625.47
26-May-20,9099.75,9161.65,8996.65,9029.05,654959960,30871.59
27-May-20,9082.2,9334,9004.25,9314.95,763492487,34603.88
28-May-20,9364.95,9511.25,9336.5,9490.1,837911425,37761.91
29-May-20,9422.2,9598.85,9376.9,9580.3,967005438,45006.25
01-Jun-20,9726.85,9931.6,9706.95,9826.15,794183122,38096.92
02-Jun-20,9880.85,9995.6,9824.05,9979.1,770192848,36723.11
03-Jun-20,10108.3,10176.2,10035.55,10061.55,794664422,38343.61
04-Jun-20,10054.25,10123.85,9944.25,10029.1,775106567,36399.04
05-Jun-20,10093.8,10177.8,10040.75,10142.15,987122302,37824.63
08-Jun-20,10326.75,10328.5,10120.25,10167.45,936485541,37819.06
09-Jun-20,10181.15,10291.15,10021.45,10046.65,754217460,36201.05
10-Jun-20,10072.6,10148.75,10036.85,10116.15,632383068,28485.47
11-Jun-20,10094.1,10112.05,9885.05,9902,715453486,30813.85
12-Jun-20,9544.95,9996.05,9544.35,9972.9,796306399,36505.77
15-Jun-20,9919.35,9943.35,9726.35,9813.7,716053036,31926.65
16-Jun-20,10014.8,10046.15,9728.5,9914,899895044,36257.89
17-Jun-20,9876.7,10003.6,9833.8,9881.15,685418390,30700.69
18-Jun-20,9863.25,10111.2,9845.05,10091.65,622895963,28594.32
19-Jun-20,10119,10272.4,10072.65,10244.4,892096343,48103.56
22-Jun-20,10318.75,10393.65,10277.6,10311.2,685385093,35529.8
23-Jun-20,10347.95,10484.7,10301.75,10471,669195109,34148.13
24-Jun-20,10529.25,10553.15,10281.95,10305.3,854799801,41394.45
25-Jun-20,10235.55,10361.8,10194.5,10288.9,994190886,41726.07
26-Jun-20,10378.9,10409.85,10311.25,10383,671910159,31841.68
29-Jun-20,10311.95,10337.95,10223.6,10312.4,574544482,27019.46
30-Jun-20,10382.6,10401.05,10267.35,10302.1,556238560,27342.55
01-Jul-20,10323.8,10447.05,10299.6,10430.05,573550127,28736.28
02-Jul-20,10493.05,10598.2,10485.55,10551.7,597423931,31235.17
03-Jul-20,10614.95,10631.3,10562.65,10607.35,525190704,25186.39
06-Jul-20,10723.85,10811.4,10695.1,10763.65,571212914,29857.54
07-Jul-20,10802.85,10813.8,10689.7,10799.65,636764929,36502.37
08-Jul-20,10818.65,10847.85,10676.55,10705.75,767941333,37676.34
09-Jul-20,10755.55,10836.85,10733,10813.45,618652409,31315.87
10-Jul-20,10764.1,10819.4,10713,10768.05,590705425,31557.58
13-Jul-20,10851.85,10894.05,10756.05,10802.7,554050579,30606.3
14-Jul-20,10750.85,10755.65,10562.9,10607.35,532368699,30902.47
15-Jul-20,10701,10827.45,10577.75,10618.2,715901258,42376.03
16-Jul-20,10706.2,10755.3,10595.2,10739.95,694402635,41453.95
17-Jul-20,10752,10933.45,10749.65,10901.7,676881092,35592.83
20-Jul-20,10999.45,11037.9,10953,11022.2,554306867,32738.64
21-Jul-20,11126.1,11179.55,11113.25,11162.25,771998838,42461.89
22-Jul-20,11231.2,11238.1,11056.55,11132.6,765074288,41068.72
23-Jul-20,11135,11239.8,11103.15,11215.45,621575333,32744.93
24-Jul-20,11149.95,11225.4,11090.3,11194.15,678935175,40217.17
27-Jul-20,11225,11225,11087.85,11131.8,588148687,34539.73
28-Jul-20,11154.1,11317.75,11151.4,11300.55,683891350,38677.47
29-Jul-20,11276.9,11341.4,11149.75,11202.85,600726301,38726.02
30-Jul-20,11254.3,11299.95,11084.95,11102.15,677761342,39150.44
31-Jul-20,11139.5,11150.4,11026.65,11073.45,642560311,36220.09
03-Aug-20,11057.55,11058.05,10882.25,10891.6,680929323,31149.94
04-Aug-20,10946.65,11112.25,10908.1,11095.25,625738313,35357.96
05-Aug-20,11155.75,11225.65,11064.05,11101.65,667639446,34894.58
06-Aug-20,11185.7,11256.8,11127.3,11200.15,600374615,31501.08
07-Aug-20,11186.65,11231.9,11142.05,11214.05,452629891,27054.43
10-Aug-20,11270.25,11337.3,11238,11270.15,491999534,29108.25
11-Aug-20,11322.25,11373.6,11299.15,11322.5,586084846,30314.89
12-Aug-20,11289,11322,11242.65,11308.4,609858960,28088.09
13-Aug-20,11334.85,11359.3,11269.95,11300.45,562355175,26500.52
14-Aug-20,11353.3,11366.25,11111.45,11178.4,645109756,31059.23
17-Aug-20,11248.9,11267.1,11144.5,11247.1,633963958,27468.67
18-Aug-20,11259.8,11401.7,11253.15,11385.35,579242492,27267.51
19-Aug-20,11452.15,11460.35,11394.1,11408.4,626217997,27528.12
20-Aug-20,11317.45,11361.45,11289.8,11312.2,791587770,27676.18
21-Aug-20,11409.65,11418.5,11362.2,11371.6,668719170,26294.26
24-Aug-20,11412,11497.25,11410.65,11466.45,532900535,28920.84
25-Aug-20,11513.1,11525.9,11423.35,11472.25,638152608,28742.82
26-Aug-20,11512.85,11561.75,11461.85,11549.6,743442521,34852.01
27-Aug-20,11609.3,11617.35,11540.6,11559.25,719776490,31580.61
28-Aug-20,11602.95,11686.05,11589.4,11647.6,806997707,39349.92
31-Aug-20,11777.55,11794.25,11325.85,11387.5,1371789450,61668.55
01-Sep-20,11464.3,11553.55,11366.9,11470.25,783769555,36752.54
02-Sep-20,11478.55,11554.75,11430.4,11535,593494423,27454.65
03-Sep-20,11566.2,11584.95,11507.65,11527.45,607115212,26868.26
04-Sep-20,11354.4,11452.05,11303.65,11333.85,681338905,31746.86
07-Sep-20,11359.6,11381.15,11251.7,11355.05,560322964,25959.82
08-Sep-20,11378.55,11437.25,11290.45,11317.35,572239350,27979.7
09-Sep-20,11218.6,11298.15,11185.15,11278,728880693,32660.67
10-Sep-20,11363.3,11464.05,11327.4,11449.25,679419973,39239.1
11-Sep-20,11447.8,11493.5,11419.9,11464.45,554789157,29614.09
14-Sep-20,11540.15,11568.9,11383.55,11440.05,642270123,33996.94
15-Sep-20,11487.2,11535.95,11442.25,11521.8,506667239,28054.51
16-Sep-20,11538.45,11618.1,11516.75,11604.55,527804775,27629.71
17-Sep-20,11539.4,11587.2,11498.5,11516.1,517729494,29674.95
18-Sep-20,11584.1,11584.1,11446.1,11504.95,764154094,48698.68
21-Sep-20,11503.8,11535.25,11218.5,11250.55,602851737,37213.23
22-Sep-20,11301.75,11302.2,11084.65,11153.65,672249921,36296.49
23-Sep-20,11258.75,11259.55,11024.4,11131.85,714925847,35542.98
24-Sep-20,11011,11015.3,10790.2,10805.55,706139506,33623.71
25-Sep-20,10910.4,11072.6,10854.85,11050.25,559597322,31122.18
28-Sep-20,11140.85,11239.35,11099.85,11227.55,472777324,24361.17
29-Sep-20,11288.6,11305.4,11181,11222.4,498295735,26875.14
30-Sep-20,11244.45,11295.4,11184.55,11247.55,499343849,28134.77
01-Oct-20,11364.45,11428.6,11347.05,11416.95,447740006,26212.72
05-Oct-20,11487.8,11578.05,11452.3,11503.35,530597393,31341.55
06-Oct-20,11603.45,11680.3,11564.3,11662.4,561444728,30373.65
07-Oct-20,11679.25,11763.05,11629.35,11738.85,513367516,32935.98
08-Oct-20,11835.4,11905.7,11791.15,11834.6,608768573,38677.49
09-Oct-20,11852.05,11938.6,11805.2,11914.2,611079482,34546.8
